d,r,n,|A|,|A+A|
2,2,5,25,137
2,3,5,17,111
2,4,5,25,256
2,5,5,21,193
2,6,5,25,279
2,7,5,21,201
2,8,5,25,285
2,9,5,21,201
3,2,5,22,140
3,3,5,25,217
3,4,5,21,170
3,5,5,25,278
3,6,5,25,283
3,7,5,21,201
3,8,5,25,295
3,9,5,25,289
4,2,5,25,176
4,3,5,22,182
4,4,5,25,247
4,5,5,21,189
4,6,5,25,295
4,7,5,25,291
4,8,5,25,286
4,9,5,21,201
2,2,6,36,267
2,3,6,26,246
2,4,6,36,502
2,5,6,31,396
2,6,6,36,577
2,7,6,31,431
2,8,6,36,585
2,9,6,31,436
3,2,6,28,235
3,3,6,36,446
3,4,6,26,271
3,5,6,36,546
3,6,6,36,582
3,7,6,31,426
3,8,6,36,587
3,9,6,36,594
4,2,6,36,328
4,3,6,32,356
4,4,6,36,480
4,5,6,31,387
4,6,6,36,602
4,7,6,36,562
4,8,6,36,590
4,9,6,31,436
2,2,7,49,489
2,3,7,37,481
2,4,7,49,915
2,5,7,43,735
2,6,7,49,1037
2,7,7,43,823
2,8,7,49,1084
2,9,7,43,841
3,2,7,39,439
3,3,7,49,814
3,4,7,37,532
3,5,7,49,985
3,6,7,49,1049
3,7,7,43,817
3,8,7,49,1091
3,9,7,49,1095
4,2,7,49,563
4,3,7,44,663
4,4,7,49,893
4,5,7,37,568
4,6,7,49,1079
4,7,7,49,1055
4,8,7,49,1090
4,9,7,43,829
2,2,8,64,867
2,3,8,43,680
2,4,8,64,1557
2,5,8,50,1023
2,6,8,64,1752
2,7,8,57,1408
2,8,8,64,1857
2,9,8,57,1471
3,2,8,52,750
3,3,8,64,1381
3,4,8,50,967
3,5,8,64,1656
3,6,8,64,1742
3,7,8,57,1401
3,8,8,64,1871
3,9,8,64,1870
4,2,8,64,966
4,3,8,58,1180
4,4,8,64,1538
4,5,8,50,1016
4,6,8,64,1808
4,7,8,64,1767
4,8,8,64,1864
4,9,8,57,1457
2,2,9,81,1421
2,3,9,57,1195
2,4,9,81,2480
2,5,9,65,1717
2,6,9,81,2756
2,7,9,73,2281
2,8,9,81,2926
2,9,9,73,2417
3,2,9,67,1217
3,3,9,81,2249
3,4,9,65,1617
3,5,9,74,2261
3,6,9,81,2751
3,7,9,73,2259
3,8,9,81,2950
3,9,9,81,3006
4,2,9,81,1519
4,3,9,74,1876
4,4,9,81,2472
4,5,9,65,1709
4,6,9,81,2863
4,7,9,81,2801
4,8,9,81,2942
4,9,9,73,2401
2,2,10,100,2225
2,3,10,73,1922
2,4,10,100,3784
2,5,10,82,2737
2,6,10,100,4179
2,7,10,91,3505
2,8,10,100,4430
2,9,10,91,3700
3,2,10,76,1670
3,3,10,100,3407
3,4,10,73,2098
3,5,10,92,3506
3,6,10,100,4206
3,7,10,82,2899
3,8,10,100,4457
3,9,10,100,4529
4,2,10,100,2328
4,3,10,92,2918
4,4,10,100,3774
4,5,10,82,2728
4,6,10,100,4330
4,7,10,100,4255
4,8,10,100,4416
4,9,10,91,3682
2,2,11,121,3365
2,3,11,81,2443
2,4,11,121,5586
2,5,11,101,4167
2,6,11,121,6149
2,7,11,101,4386
2,8,11,121,6467
2,9,11,111,5461
3,2,11,94,2579
3,3,11,121,5008
3,4,11,91,3291
3,5,11,112,5217
3,6,11,121,6180
3,7,11,101,4376
3,8,11,121,6489
3,9,11,121,6587
4,2,11,121,3426
4,3,11,112,4362
